-------------------------------------
+ 104 sentences found and listed blow:
line 0006807 from [红楼梦.txt]: 因闻得梨香院的十二个女孩子中有小旦龄官 *最是唱的* 好因着意出角门来找时只见
line 0006914 from [红楼梦.txt]: 你个号罢有最俗的一个号却于你 *最当天下难得的* 是富贵又难得的是闲散这两
line 0007115 from [红楼梦.txt]: 平生 *最不喜限韵的* 分明有好诗何苦为韵所缚咱们别学那小家派只出题不拘韵
line 0007387 from [红楼梦.txt]: 好见的好嫂子你就说我去了罢平儿忙道你快去罢不相干的我们老太太 *最是惜老怜贫的* 比不得那个狂三诈四的那些人想是你怯上我和周大娘送你去说着
line 0007436 from [红楼梦.txt]: 贾母 *最胆小的* 听了这个话忙起身扶了人出至廊上来瞧只见东南上火光犹亮贾
line 0007466 from [红楼梦.txt]: 太太太都是善人合家大小也都好善喜舍 *最爱修庙塑神的* 我明儿做一个疏头替
line 0007658 from [红楼梦.txt]: 曾饶了这园子闲了天天逛那里还有叫人来收拾的工夫林黛玉道我 *最不喜欢李义山的* 诗只喜他这一句留得残荷听雨声偏你们又不留着残荷了宝玉道果
line 0007673 from [红楼梦.txt]: 要很离了格儿有现成的东西为什么不摆若很爱素净少几样倒使得我 *最会收拾屋子的* 如今老了没有这些闲心了他们姊妹们也还学着收拾的好只怕俗气有好
line 0007861 from [红楼梦.txt]: 我都认得我们那里这样的庙宇 *最多都是这样的* 牌坊那字就是庙的名字众人笑
line 0007887 from [红楼梦.txt]: 力巧合便撞开消息掩过镜子露出门来刘姥姥又惊又喜迈步出来忽见有一副 *最精致的* 床帐他此时又带了七八分醉又走乏了便一屁股坐在床上只说歇歇不承
line 0008243 from [红楼梦.txt]: 件我常见二爷 *最厌这水仙庵的* 如何今儿又这样喜欢了宝玉道我素日因恨俗人
line 0008439 from [红楼梦.txt]: 贾母笑道胡说我知道他 *最有礼的* 再不会冲撞人他日后得罪了你我自然也作
line 0008511 from [红楼梦.txt]: 省得这些姑娘小姐闹我凤姐儿忙笑道好嫂子赏我一点空儿你是 *最疼我的* 怎么今儿为平儿就不疼我了往常你还劝我说事情虽多也该保养身子捡点着偷空儿
line 0008605 from [红楼梦.txt]: 了比药还强 *最是滋阴补气的* 黛玉叹道你素日待人固然是极好的然我最是个多心的人只当你心里藏奸
line 0008606 from [红楼梦.txt]: 黛玉叹道你素日待人固然是极好的然我 *最是个多心的* 人只当你心里藏奸
line 0009000 from [红楼梦.txt]: 作陪因其中有柳湘莲薛蟠自上次会过一次已念念不忘又打听他 *最喜串戏且串的* 都是生旦风月戏文不免错会了意误认他作了风月子弟正要与他相交恨没有个
line 0009477 from [红楼梦.txt]: 湘云冷笑道你知道什么是真名士自风流你们都是假清高 *最可厌的* 我们这会子腥膻大吃大嚼回来却是锦心绣口宝钗笑道你回来若作的不好了把那肉掏了
line 0009660 from [红楼梦.txt]: 脸先要五十两银子真不害臊凤姐儿笑道我们老祖宗 *最是有眼色的* 试一试姨
line 0010381 from [红楼梦.txt]: 上他便没孝那园子里也须得他看着灯烛花炮 *最是耽险的* 这里一唱戏园子里的人
line 0010529 from [红楼梦.txt]: 雅俗共赏不如谁输了谁说个笑话罢众人听了都知道他素日善说笑话 *最是他肚内有无限的* 新鲜趣谈今儿如此说不但在席的诸人喜欢连地下伏侍的老小人等无
line 0010707 from [红楼梦.txt]: 奶大安了咱们再说门外的众媳妇都笑道姑娘你是个 *最明白的* 人俗语说一
line 0010949 from [红楼梦.txt]: 一所大花园都是你们照看皆因看得你们是三四代的老妈妈 *最是循规遵矩的* 原该
line 0011137 from [红楼梦.txt]: 我当有什么要紧大事原来是这句顽话又向紫鹃道你这孩子素日 *最是个伶俐聪敏的* 你又知道他有个呆根子平白的哄他作什么薛姨妈劝道宝玉本来心实可
line 0011205 from [红楼梦.txt]: 的说道一动不如一静我们这里就算好人家别的都容易 *最难得的* 是从小儿一处
line 0011292 from [红楼梦.txt]: 伏在他母亲怀里笑说咱们走罢黛玉笑道你瞧这么大了离了姨妈他就是个 *最老道的* 见了姨妈他就撒娇儿薛姨妈用手摩弄着宝钗叹向黛玉道你这姐姐就和
line 0011361 from [红楼梦.txt]: 万嘱咐托他照管林黛玉薛姨妈素习也 *最怜爱他的* 今既巧遇这事便挪至潇湘馆来
line 0011877 from [红楼梦.txt]: 和了药不知怎么弄出这怪俊的白霜儿来说第一用人乳和着每日早起吃一钟 *最补人的* 第二用牛奶子万不得滚白水也好我们想着正宜外甥女儿吃原是上半日打
line 0012040 from [红楼梦.txt]: 姑娘不大相识高高孤拐大大的眼睛 *最干净爽利的* 玉钏儿道是了姐姐你怎
line 0012277 from [红楼梦.txt]: 几件事单拿我和凤姐姐作筏子禁别人 *最是心里有算计的* 人岂只乖而已黛玉道
line 0012588 from [红楼梦.txt]: 用湘云素习憨戏异常他也 *最喜武扮的* 每每自己束銮带穿折袖近见宝玉将芳官
line 0013164 from [红楼梦.txt]: 柳二郎那样一个标致人 *最是冷面冷心的* 差不多的人都无情无义他最和宝玉合
line 0013164 from [红楼梦.txt]: 柳二郎那样一个标致人最是冷面冷心的差不多的人都无情无义他 *最和宝玉合的* 来去年因打了薛呆子他不好意思见我们的不知那里去了一向后来听见有人说
line 0013412 from [红楼梦.txt]: 流星的掉了好些下来姑娘还不知道呢这马蜂 *最可恶的* 一嘟噜上只咬破三两个儿
line 0013652 from [红楼梦.txt]: 众姬妾丫鬟媳妇已是乌压压跪了一地陪笑求说二奶奶 *最圣明的* 虽是我们奶
line 0014735 from [红楼梦.txt]: 得此信便慌了手脚因思素与怡红院人 *最为深厚故走来悄悄的* 央求晴雯金星玻璃
line 0015094 from [红楼梦.txt]: 贾母笑道看着多多的人吃饭 *最有趣的* 又指银蝶道这孩子也好也来同你主
line 0015209 from [红楼梦.txt]: 便说赏月在山上 *最好因命在那山脊上的* 大厅上去众人听说就忙着在那里去铺
line 0015226 from [红楼梦.txt]: 说来不笑也只好受罚了因笑道一家子一个人 *最怕老婆的* 才说了一句大家
line 0016268 from [红楼梦.txt]: 有些惭愧还不十分在意无奈宝蟾素日 *最是说嘴要强的* 今遇见了香菱便恨无地缝
line 0016413 from [红楼梦.txt]: 是睡不着我想咱们这样人家的姑娘那里受得这样的委屈况且二姐姐是个 *最懦弱的* 人向来不会和人拌嘴偏偏儿的遇见这样没人心的东西竟一点儿不知道女人的
line 0016483 from [红楼梦.txt]: 又唬走了急的宝玉道我 *最是个性儿急的* 人他偏性儿慢这可怎么样呢好鱼儿
line 0016543 from [红楼梦.txt]: 位先生来学问人品都是极好的也是南边人但我想南边先生性情 *最是和平咱们城里的* 小孩个个踢天弄井鬼聪明倒是有的可以搪塞就搪塞过去了胆子又大先生
line 0016731 from [红楼梦.txt]: 太你向来 *最是慈悲的* 又最疼我的到了紧急的时候怎么全不管不要说我是你的外
line 0016731 from [红楼梦.txt]: 太你向来 *最是慈悲的又最疼我的* 到了紧急的时候怎么全不管不要说我是你的外
line 0016731 from [红楼梦.txt]: 太你向来最是慈悲的又 *最疼我的* 到了紧急的时候怎么全不管不要说我是你的外
line 0016731 from [红楼梦.txt]: 太你向来最是慈悲的又 *最疼我的到了紧急的* 时候怎么全不管不要说我是你的外
line 0017165 from [红楼梦.txt]: 话来便有新近到来 *最善大棋的* 一个王尔调名作梅的说道据我们看来宝二爷的学
line 0018464 from [红楼梦.txt]: 黛玉道他那里知道这个原故宝玉道宝姐姐为人是 *最体谅我的* 黛玉道你不
line 0018516 from [红楼梦.txt]: 娘们都请了明儿来赴什么消寒会呢宝玉没有听完便喜欢道可不是老太太 *最高兴的* 明日不上学是过了明路的了袭人也便不言语了那丫头回去宝玉认真念了
line 0018665 from [红楼梦.txt]: 看了这样你想做官的怕不怕贾赦道咱们家是 *最没有事的* 冯紫英道果然
line 0018893 from [红楼梦.txt]: 简绝做活计儿手儿又巧会写会算尊长上头 *最孝敬的* 就是待下人也是极和平的
line 0019541 from [红楼梦.txt]: 鹃说道妹妹你是我 *最知心的* 虽是老太太派你伏侍我这几年我拿你就当我的亲
line 0019952 from [红楼梦.txt]: 十儿说老爷 *最圣明的* 我们新来乍到又不与别位老爷很来往谁肯送信巴不得老
line 0019964 from [红楼梦.txt]: 本家大人是老爷 *最相好的* 他不多几年已巴到极顶的分儿也只为识时达务能够上和
line 0020272 from [红楼梦.txt]: 儿的说二叔为人是 *最啬刻的* 比不得大舅太爷他们各自家里还乌眼鸡似的不么
line 0020358 from [红楼梦.txt]: 所以我不得空儿来请老太太的安却说凤姐素日 *最厌恶这些事的* 自从昨夜见鬼心
line 0020371 from [红楼梦.txt]: 签我心里的事签上批的出批的出来我从此就信了大了道我们的签 *最是灵的* 明儿奶奶去求一签就知道了贾母道既这么着索性等到后日初一你再去求说
line 0020379 from [红楼梦.txt]: 一见这几个字吃一大惊惊问大了道古人也有叫王熙凤的么大了笑道奶奶 *最是通今博古的* 难道汉朝的王熙凤求官的这一段事也不晓得周瑞家的在旁笑道
line 0020425 from [红楼梦.txt]: 太医是 *最兴时的* 了只怕我母亲的病不是药治得好的贾珍道胡说不吃药难道由
line 0021175 from [红楼梦.txt]: 一并入了官老爷就不用过了不成贾政嗔道放屁你们这班奴才 *最没有良心的* 仗着主子好的时候任意开销到弄光了走的走跑的跑还顾主子的死活吗如今你
line 0021398 from [红楼梦.txt]: 姐那是个 *最小性儿又多心的* 所以到底不长命凤丫头也见过些事很不该略见些风
line 0021797 from [红楼梦.txt]:  *最可恶的* 是史丫头没良心怎么总不来瞧我鸳鸯等明知其故都不言语贾母又瞧
line 0021835 from [红楼梦.txt]: 言那日老太太分派的时候不是老爷在这里听见的么凤姐道你素来 *最明白的* 怎么这会子那样的着急起来了鸳鸯道不是我着急为的是大太太是不管事的老爷
line 0022007 from [红楼梦.txt]: 鸳鸯的魂道我是个 *最无情的* 怎么算我是个有情的人呢那人道你还不知道呢
line 0022625 from [红楼梦.txt]: 我素来又兼不大理家有的没的我还摸不着呢程日兴道老世翁 *最是仁德的* 人若在别家的这样的家计就穷起来十年五载还不怕便向这些管家的要也就够了
line 0022742 from [红楼梦.txt]:  *最清最雅的* 在弟是庸庸碌碌一等愚人忝附同名殊觉玷辱了这两个字贾宝玉听
line 0023038 from [红楼梦.txt]: 想一个人闻名不如眼见头里听着宝二爷女孩子跟前是 *最好的我母亲再三的* 把我弄
line 0023212 from [红楼梦.txt]: 么样那陪酒的说现今有个外藩王爷 *最是有情的* 要选一个妃子若合了式父母
line 0023222 from [红楼梦.txt]: 会钻营官也不小了只是贪财被人家参了个婪索属员的几款如今的万岁爷是 *最圣明最仁慈的* 独听了一个贪字或因糟蹋了百姓或因恃势欺良是极生气的所以
line 0023223 from [红楼梦.txt]: 明 *最仁慈的* 独听了一个贪字或因糟蹋了百姓或因恃势欺良是极生气的所以
line 0023235 from [红楼梦.txt]: 环道妙玉这个东西是 *最讨人嫌的* 他一日家捏酸见了宝玉就眉开眼笑了我若见
line 0023421 from [红楼梦.txt]: 几部向来 *最得意的* 如参同契元命苞五灯会元之类叫出麝月秋纹莺儿
line 0000076 from [语文课本.txt]: 超过了他但是总在我们流连山色的时候他又悄悄地超过了我们 *最后在极顶的* 小卖部门前我们又碰见了他他已经在那里交货了他对我们点头一笑好像在
line 0000093 from [语文课本.txt]: 一层 *最后连成一片茫茫的* 跟蓝天相接
line 0000244 from [语文课本.txt]: 队被压在一个小土坡下面抬不起头冲在 *最前面的* 一个战士倒下了
line 0000283 from [语文课本.txt]: 多么希望车子能停下来希望时间能停下来可是灵车渐渐地远去了 *最后消失在苍茫的* 夜色中了人们还是面向灵车开去的方向静静地站着好像在等待周总理
line 0000288 from [语文课本.txt]: 一个假日我夹着一本书来到这个小公园坐在花丛中间的长椅上这是我 *最爱坐的* 长椅因为我喜欢那几丛花在春天的北京这样的花是经常见到的
line 0000341 from [语文课本.txt]: 好多么纯真人民的感情是朴素的朴素的东西是 *最美的修一座友谊的* 长桥
line 0000555 from [语文课本.txt]: 存为了争取阳光和空间对于高梁气根是 *最不可缺少的* 夏天暴风雨来临之前
line 0000558 from [语文课本.txt]: 父亲说高梁的根 *最苦所有的* 虫子都不敢咬它根是它的命说着父
line 0000578 from [语文课本.txt]: 他们高兴地坐在井旁边的大石头上看那股清澈的泉水慢慢填满那口小井 *最后从那宽阔的* 出口流出来
line 0000636 from [语文课本.txt]: 圆明园不但建筑宏伟还收藏着 *最珍贵的* 历史文物上自先秦时代的青铜礼器
